Year,Scope,County_GEOID,County_Name,Elev_Band,Elev_Min_m,Elev_Max_m,Population,Pct_of_State,WorldPop_Source
2013,County,12113,Santa Rosa,2-5 m,2,5.0,21173,0.11,WorldPop_PPP_Unconstrained_v2
2013,County,12113,Santa Rosa,5-10 m,5,10.0,37497,0.19,WorldPop_PPP_Unconstrained_v2
2013,County,12113,Santa Rosa,10-25 m,10,25.0,33316,0.17,WorldPop_PPP_Unconstrained_v2
2013,County,12113,Santa Rosa,25-50 m,25,50.0,51183,0.26,WorldPop_PPP_Unconstrained_v2
2013,County,12113,Santa Rosa,50+ m,50,112.47,11996,0.06,WorldPop_PPP_Unconstrained_v2
2013,County,12115,Sarasota,0-1 m,0,1.0,13619,0.07,WorldPop_PPP_Unconstrained_v2
2013,County,12115,Sarasota,1-2 m,1,2.0,25331,0.13,WorldPop_PPP_Unconstrained_v2
2013,County,12115,Sarasota,2-5 m,2,5.0,159136,0.81,WorldPop_PPP_Unconstrained_v2
2013,County,12115,Sarasota,5-10 m,5,10.0,176330,0.89,WorldPop_PPP_Unconstrained_v2
2013,County,12115,Sarasota,10-25 m,10,25.0,23514,0.12,WorldPop_PPP_Unconstrained_v2
2013,County,12115,Sarasota,25-50 m,25,50.0,82,0.0,WorldPop_PPP_Unconstrained_v2
2013,County,12117,Seminole,0-1 m,0,1.0,1336,0.01,WorldPop_PPP_Unconstrained_v2
2013,County,12117,Seminole,1-2 m,1,2.0,2137,0.01,WorldPop_PPP_Unconstrained_v2
2013,County,12117,Seminole,2-5 m,2,5.0,9239,0.05,WorldPop_PPP_Unconstrained_v2
2013,County,12117,Seminole,5-10 m,5,10.0,51982,0.26,WorldPop_PPP_Unconstrained_v2
2013,County,12117,Seminole,10-25 m,10,25.0,303435,1.54,WorldPop_PPP_Unconstrained_v2
2013,County,12117,Seminole,25-50 m,25,50.0,75032,0.38,WorldPop_PPP_Unconstrained_v2
2013,County,12109,St. Johns,0-1 m,0,1.0,8769,0.04,WorldPop_PPP_Unconstrained_v2
2013,County,12109,St. Johns,1-2 m,1,2.0,41279,0.21,WorldPop_PPP_Unconstrained_v2
2013,County,12109,St. Johns,2-5 m,2,5.0,62157,0.31,WorldPop_PPP_Unconstrained_v2
2013,County,12109,St. Johns,5-10 m,5,10.0,79787,0.4,WorldPop_PPP_Unconstrained_v2
2013,County,12109,St. Johns,10-25 m,10,25.0,24304,0.12,WorldPop_PPP_Unconstrained_v2
2013,County,12111,St. Lucie,0-1 m,0,1.0,8504,0.04,WorldPop_PPP_Unconstrained_v2
2013,County,12111,St. Lucie,1-2 m,1,2.0,7104,0.04,WorldPop_PPP_Unconstrained_v2
2013,County,12111,St. Lucie,2-5 m,2,5.0,128522,0.65,WorldPop_PPP_Unconstrained_v2
2013,County,12111,St. Lucie,5-10 m,5,10.0,162473,0.82,WorldPop_PPP_Unconstrained_v2
2013,County,12111,St. Lucie,10-25 m,10,25.0,458,0.0,WorldPop_PPP_Unconstrained_v2
2013,County,12119,Sumter,5-10 m,5,10.0,0,0.0,WorldPop_PPP_Unconstrained_v2
2013,County,12119,Sumter,10-25 m,10,25.0,79909,0.4,WorldPop_PPP_Unconstrained_v2
2013,County,12119,Sumter,25-50 m,25,50.0,30565,0.15,WorldPop_PPP_Unconstrained_v2
2013,County,12121,Suwannee,2-5 m,2,5.0,45,0.0,WorldPop_PPP_Unconstrained_v2
2013,County,12121,Suwannee,5-10 m,5,10.0,336,0.0,WorldPop_PPP_Unconstrained_v2
2013,County,12121,Suwannee,10-25 m,10,25.0,13181,0.07,WorldPop_PPP_Unconstrained_v2
2013,County,12121,Suwannee,25-50 m,25,50.0,27953,0.14,WorldPop_PPP_Unconstrained_v2
